Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Seim skule - idrettsplass lys;1263001001;Eksisterende;Lindås kommune;Lindås kommune;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;Ja;Lengde 100.00 ;Bredde 53.00 ;  ;  ;291540;-42765;;6759414;-31226;33
Seim skule - kunstgressbane;1263001004;Eksisterende;Lindås kommune;Lindås kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 meter;Bredde 53.00 meter;  ;  ;303647;-298056;7;6759414;-31226;33
Kløvheim skule;1263001101;Eksisterende;Lindås kommune;Lindås kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;299915;-166298;5;6763570;-26586;33
Leiknes skule - grusbane;1263001202;Eksisterende;Lindås kommune;Lindås kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;286565;-36885;5;6753668;-26062;33
Lindås idrettspark naturgress fotballbane;1263003101;Eksisterende;Lindås IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 110.00 ;Bredde 74.00 ;  ;  ;305025;-48452;6;6773590;-35038;33
Austrheim stadion gressbane;1264000101;Eksisterende;Austrheim IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 65.00 ;  ;  ;309500;-61350;6;6779799;-47244;33
Årås skule grusbane ;1264000112;Eksisterende;Austrheim kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;310100;-60800;5;6780320;-46616;33
Kaland skule fotballbane grus;1264000201;Eksisterende;Austrheim kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;312528;-57273;5;6782251;-42779;33
Mongstad Fotballbane grus;1264000302;Nedlagt;Statoil Mongstad;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;312550;-56800;5;6782208;-42306;33
Årås treningsbane fotball;1264003203;Eksisterende;Austrheim kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 65.00 ;Bredde 40.00 ;  ;  ;310112;-60605;5;6780305;-46420;33
Austrheim Idrettspark kunstgrasbane;1264003204;Eksisterende;Austrheim kommune;Austrheim kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Ant baner 1.00 stk;Bredde 68.00 meter;Lengde 106.00 meter;Lengde  ;323362;-314511;7;6745020;278993;32
Fedje fotballbane;1265000201;Eksisterende;Fedje kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 67.00 ;  ;  ;310350;-72000;5;6782099;-57713;33
Nordbygda idrettsanlegg gressbane;1266000101;Eksisterende;Masfjorden kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;315350;-41850;6;6782948;-27067;33
Nordbygda idrettsanlegg krøllgrasbane;1266000103;Eksisterende;Masfjorden kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 85.00 ;Bredde 47.00 ;  ;  ;315350;-41850;7;6782948;-27067;33
Matre idrettsanlegg - grusbane fotball;1266000301;Eksisterende;Håkon Matre Og Karl Matre;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 45.00 ;  ;  ;320050;-25400;5;6785370;-10081;33
Andvik ballbinge;1266003801;Planlagt;Masfjorden kommune;Masfjorden kommune;Nærmiljøanlegg;Fotballanlegg;Fotball ubestemt;Ja;  ;  ;  ;  ;6747612;303697;;6081660;538236;33
Florø stadion;1401000101;Eksisterende;Flora kommune, Idrettstenesten;Flora kommune, Idrettstenesten;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 103.00 ;Bredde 62.00 ;  ;  ;401200;-54600;7;6869994;-27961;33
Flora stadion;1401000102;Eksisterende;Flora kommune, Idrettstenesten;Flora kommune, Idrettstenesten;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 65.00 ;  ;  ;401200;-54600;6;6869994;-27961;33
Eikefjord stadion - grasbane;1401000201;Eksisterende;Flora kommune, Idrettstenesten;Flora kommune, Idrettstenesten;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 65.00 ;  ;  ;400500;-32500;6;6866257;-6104;33
Eikefjord stadion;1401000202;Nedlagt;Flora kommune, Idrettstenesten;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 70.00 ;Bredde 50.00 ;  ;  ;400500;-32500;5;6866257;-6104;33
Eikefjord stadion, kunstgrasbane;1401000205;Eksisterende;Flora kommune, Idrettstenesten;Flora kommune, Idrettstenesten;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 104.00 ;Bredde 64.00 ;  ;  ;400500;-32500;7;6866257;-6104;33
Moane stadion;1401000301;Eksisterende;Norddalsfjord IL;Norddalsfjord IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 90.00 ;Bredde 60.00 ;  ;  ;407900;-27850;6;6872967;-467;33
Flora vidaregåande skule;1401000503;Eksisterende;Florø Sportsklubb;Florø Sportsklubb;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 120.00 ;Bredde 90.00 ;  ;  ;400700;-53500;6;6869346;-26937;33
Florø idrettssenter, fotballhall;1401006002;Eksisterende;Florø Idrettssenter A/S;Florø Idrettssenter A/S;Kommuneanlegg;Fotballanlegg;Fotball Treningshall 70x50;Ikke vurdert;Lengde 71.70 ;Bredde 56.50 ;Høyde 13.00 ;Høyde  ;400790;-53576;;6869445;-27000;33
Eivindvik stadion;1411000101;Eksisterende;Eivindvik IL;Eivindvik IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;331750;-51920;6;6800621;-34831;33
Brekke idrettsplass;1411000301;Eksisterende;Brekke IL;Brekke IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 50.00 ;  ;  ;335520;-32650;6;6801730;-15168;33
Brekke idrettsplass lysanlegg;1411000305;Planlagt;Brekke IL;Brekke IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;346841;-284826;7;6801730;-15168;33
Dalsøyra skule/leike- og idret;1411000402;Planlagt;Gulen kommune;Dalsøyra IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 90.00 ;Bredde 50.00 ;  ;  ;326920;-49130;5;6795440;-32719;33
Dalsøyra skule, kunstgrasbane;1411000407;Planlagt;Dalsøyra IL;Dalsøyra IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;382068;-625204;7;6795440;-32719;32
Dalsøyra kunstgrasbane lysanlegg;1411000408;Planlagt;Dalsøyra IL;Dalsøyra IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;339428;-301895;7;6795440;-32719;33
Byrknesøy leike- og idrettspla;1411000802;Eksisterende;Byrknes IL;Byrknes IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 98.00 ;Bredde 50.00 ;  ;  ;323760;-66040;5;6794613;-49956;33
Solund Fotballbane;1412001501;Eksisterende;Solund kommune;Solund IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 meter;Bredde 62.00 meter;  ;  ;342450;-65152;5;6813066;-46515;33
Solund idrettsplass, kunstgrasbane;1412001503;Planlagt;Solund kommune;Solund kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;342450;-65153;7;6813066;-46515;33
Hyllestad idrettsanlegg, kunstgrasbane;1413000101;Eksisterende;Hyllestad kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 106.00 ;Bredde 68.00 ;  ;  ;353220;-40650;7;6820410;-20692;33
Hyllestad Idrettsanlegg - grusbane;1413000105;Nedlagt;Hyllestad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 60.00 ;Bredde 40.00 ;  ;  ;0;0;5;0;0;0
Øen skule;1413000602;Eksisterende;Hyllestad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 56.00 ;Bredde 20.00 ;  ;  ;359240;-45630;5;6827073;-24815;33
Leirvik skule, leikeplass;1413000701;Eksisterende;Hyllestad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 53.00 ;Bredde 35.00 ;  ;  ;349780;-37985;5;6816627;-18516;33
Høyanger stadion, grasbane;1416000101;Eksisterende;Høyanger kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 67.00 ;  ;  ;358930;1410;6;6820318;21866;33
Høyanger stadion, kunstgras;1416000103;Eksisterende;Høyanger kommune;Høyanger kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 106.00 ;Bredde 68.00 ;  ;  ;358930;1410;7;6820318;21866;33
Vaimbley stadion;1416000201;Nedlagt;Høyanger kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 96.00 ;Bredde 54.00 ;  ;  ;357350;-12150;5;6820607;8183;33
Alværa stadion, fotballbane grus;1416000301;Eksisterende;Lavik IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;347170;-26300;5;6812433;-7266;32
Ikjefjord stadion;1416000601;Eksisterende;Ikjefjord IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;341400;-20130;5;6805857;-1927;33
Vadheim skule - grusbane;1416000803;Eksisterende;Høyanger kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;357770;-11745;5;6820968;8643;32
Vadheim skule, fotballbane;1416000804;Eksisterende;Høyanger kommune;Vadheim IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;357685;-11864;5;6820900;8513;32
Vadheim skule, kunstgrasbane;1416000805;Eksisterende;Høyanger kommune;Høyanger kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;  ;  ;  ;  ;367470;-262484;7;6790438;329793;32
Bjordal, Førsund idrettsanlegg;1416000902;Eksisterende;Høyanger kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 66.00 ;Bredde 50.00 ;  ;  ;341600;-13600;5;6805162;4587;32
Kyrkjebø grasbane;1416001006;Eksisterende;Høyanger kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 64.00 ;  ;  ;352250;-6300;6;6814740;13295;32
Lavik nye skule - ballbane;1416004702;Eksisterende;Høyanger kommune;Høyanger kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 40.00 ;Bredde 20.00 ;  ;  ;345930;-29000;7;6811571;-10117;32
Vik stadion;1417000101;Eksisterende;Vik kommune;Vik kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 69.50 ;  ;  ;343450;28180;6;6801284;46327;33
Vik stadion;1417000102;Nedlagt;Vik kommune;Vik kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;343717;28282;5;6774695;369256;32
Isbane Vik idrettspark;1417000110;Planlagt;Vik kommune;Vik kommune;Nærmiljøanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Areal 2400.00 ;  ;  ;  ;343695;28277;5;6774673;369250;32
Vik stadion, kunstgrasbane;1417000113;Eksisterende;Vik IL;Vik IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;386071;-545759;7;6801536;46465;32
Modig stadion;1417000201;Eksisterende;Modig IL;Modig IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;342300;47440;6;6797510;65288;33
Feios stadion;1417000301;Ikke i drift;Feios IL;Feios IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 60.00 ;  ;  ;349900;37720;5;6806383;56679;33
Vangsnes skule/grendahus;1417000502;Eksisterende;Vik kommune;Vik kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 60.00 ;Bredde 30.00 ;  ;  ;352320;31580;5;6809625;50915;33
Kreklingen stadion;1418000101;Eksisterende;Balestrand kommune;Balestrand kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;357240;25590;7;6815329;45642;33
Nesse skule;1418001102;Eksisterende;Balestrand kommune;Balestrand kommune;Nærmiljøanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 40.00 ;Bredde 25.00 ;  ;  ;349315;11865;7;6809339;30931;33
Leikanger idrettspark - grasbane;1419000101;Eksisterende;Syril IL;Syril IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;355681;43174;6;6785974;384668;32
Leikanger idrettspark - kunstgras;1419000103;Planlagt;Syril IL;Syril IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 100.00 ;Bredde 60.00 ;  ;  ;355769;43254;5;6786058;384752;32
Leikanger Idrettspark, kunstgrasbane;1419000106;Planlagt;Syril IL;Syril IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;395560;-528967;7;6811451;62975;32
Fosshaugane stadion;1420000101;Eksisterende;Sogndal IL;Sogndal Fotball AS;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 68.00 ;  ;  ;360350;55600;6;6814308;75854;33
Fosshaugane stadion;1420000102;Eksisterende;Sogndal IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;360350;55600;5;6814308;75854;33
Lines treningsfelt;1420000103;Nedlagt;Sogndal IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 38.00 ;  ;  ;360350;55600;6;6814308;75854;33
Fosshaugane stadion Flomlys;1420000109;Eksisterende;Sogndal IL;;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;;Lengde 106.00 ;Bredde 68.00 ;  ;  ;360350;55600;;6814308;75854;33
Kaupanger stadion;1420000201;Eksisterende;Kaupanger IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;356900;62400;6;6809954;82130;33
Kaupanger stadion;1420000202;Eksisterende;Kaupanger IL;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;;Lengde 111.00 ;Bredde 72.00 ;  ;  ;356900;62400;7;6809954;82130;33
Ylvisåker stadion;1420000301;Eksisterende;Norane IL .;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;354600;51900;5;6809108;71396;33
Sogndal stadion - kvåle;1420000401;Eksisterende;Sogndal IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 70.00 ;  ;  ;360300;55200;6;6814313;75451;33
Kunstgrasbane 50 x 65 m;1420000405;Planlagt;;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;362191;126757;7;6790103;396824;33
Helgheim kunstgrasbane;1420000704;Planlagt;;;Nærmiljøanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;365324;-193327;7;6790116;398927;32
Kaupanger skule;1420000802;Eksisterende;Sogndal kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 85.00 ;Bredde 48.00 ;  ;  ;355650;-62400;5;6808632;82642;33
Sognahallen fotballhall;1420004101;Eksisterende;Sognahallen A/S;;Fylkesanlegg;Fotballanlegg;Fotball Storhall 100x60;Ikke vurdert;Lengde 110.00 ;Bredde 68.00 ;Høyde 22.00 ;Høyde  ;360270;55485;;6814245;75729;33
Fjærland skule;1420005105;Eksisterende;Fjærland IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 47.00 ;  ;  ;378660;36690;5;6835070;59595;33
Våtevik ballplass;1420005201;Eksisterende;Sogndal kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 70.00 ;Bredde 40.00 ;  ;  ;382330;38140;5;6838514;61537;33
Aurland stadion - grasbane;1421000101;Eksisterende;Aurland kommune;Aurland kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;323900;62090;6;675339;402121;32
Aurland stadion, treningsbane ;1421000102;Nedlagt;Aurland kommune;Aurland kommune;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;323900;62090;;6777249;77315;33
Flåm stadion - fotballbane;1421000601;Eksisterende;Aurland kommune;Aurland kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;319480;57654;5;6749169;397502;32
Lærdal stadion - fotballbane;1422000101;Nedlagt;Lærdal kommune;Lærdal IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 62.00 ;  ;  ;345230;-48280;6;6796819;95658;33
Lærdalsøyri skule - treningsbane;1422000204;Eksisterende;Lærdal kommune;Lærdal kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;345740;-48010;7;6797300;95979;33
Ljøsne skule - treningsbane;1422000403;Eksisterende;Lærdal kommune;Lærdal kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 40.00 ;  ;  ;339460;-41240;5;6790358;102090;33
Lærdal fotballanlegg, grasbane;1422003201;Eksisterende;Lærdal kommune;Lærdal kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 70.00 ;Bredde 50.00 ;  ;  ;345870;-47900;6;6797419;96102;33
Lærdal fotballanlegg - kamparena;1422003202;Eksisterende;Lærdal kommune;Lærdal kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 68.00 ;  ;  ;345902;-47818;6;6797442;96187;33
Jotun stadion;1424000101;Eksisterende;Årdal kommune;Årdal kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 108.00 ;Bredde 65.00 ;  ;  ;368560;-30975;6;6818313;115262;33
Jotun stadion, kunstgras;1424000102;Eksisterende;Årdal kommune;Jotun IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 101.00 ;Bredde 64.00 ;  ;  ;368560;-30975;7;6818313;115262;33
Jotun stadion;1424000106;Nedlagt;Årdal kommune;Årdal kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 101.00 ;Bredde 64.00 ;  ;  ;368560;-30975;5;6818313;115262;33
Årdalstangen stadion;1424000201;Eksisterende;Årdal kommune;Årdal kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 108.00 ;Bredde 66.00 ;  ;  ;361440;-35980;6;6811726;109555;33
Årdalstangen stadion;1424000202;Nedlagt;Årdal kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 95.00 ;Bredde 58.00 ;  ;  ;361440;-35980;5;6811726;109555;33
Årdalstangen stadion, kunstgras;1424000206;Eksisterende;Årdal kommune;Årdal kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 66.00 ;Bredde 44.00 ;  ;  ;361440;-35980;7;6811726;109555;33
Seimsdalen, grasbane;1424000901;Eksisterende;Årdal kommune;Årdal kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 78.00 ;Bredde 48.00 ;  ;  ;361320;-39250;6;6811938;106284;33
Svalheim;1424001001;Eksisterende;Årdal kommune;Jotun IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;370700;-28400;6;6820184;118045;33
Gaupne stadion - grasbane;1426000102;Eksisterende;IL Bjørn;IL Bjørn;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;379605;-58534;6;6808969;408642;32
Gaupne stadion - fotball grus/kunstgras;1426000103;Eksisterende;IL Bjørn;IL Bjørn;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 90.00 ;Bredde 56.00 ;  ;  ;379509;-59071;7;6808878;408104;32
Undervarme kunstgrasbane, Gaupne stadion;1426000105;Planlagt;IL Bjørn;IL Bjørn;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;379611;-58533;7;6808975;408643;32
Jostedal skule-idrettsplass;1426000201;Eksisterende;Luster kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 70.00 ;Bredde 45.00 ;  ;  ;401955;-57940;5;6854322;91785;33
Hafslo stadion - grasbane;1426000301;Eksisterende;Hafslo IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 104.00 ;Bredde 64.00 ;  ;  ;369152;58389;6;6798742;400470;32
Hafslo stadion - grusbane;1426000302;Eksisterende;Hafslo IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;369044;58676;5;6798621;400751;32
Moane stadion - treningssenter;1426000304;Eksisterende;Hafslo IL;;Fylkesanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 150.00 ;Bredde 120.00 ;  ;  ;369074;58547;6;6798657;400624;32
Skjolden stadion - grasbane fotball;1426000401;Eksisterende;Fanaråk IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 58.00 ;  ;  ;389260;-41903;6;6818464;425357;32
Veitastrond grasbane Leikvoll stadion ;1426000601;Eksisterende;Veitastrond IL;Veitastrond IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 92.00 ;Bredde 60.00 ;  ;  ;387291;52806;5;6817109;395712;32
Veitastrond stadionanlegg med grasbane;1426000602;Planlagt;Veitastrond IL;Veitastrond IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;  ;  ;  ;  ;387289;52809;6;6817107;395715;32
Ljosvang ballbane, Indre Hafslo;1426005101;Eksisterende;IL Bjørn;IL Bjørn;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 40.00 ;Bredde 70.00 ;  ;  ;374973;-59823;5;6804350;407310;32
Ljosvang ballbane, Indre Hafslo;1426005104;Eksisterende;IL Bjørn;Indre Hafslo bygdelag;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 60.00 ;Bredde 30.00 ;  ;  ;375060;-59869;5;6804438;407265;32
Bruflat treningsfelt - grasbane, Gaupne;1426005302;Eksisterende;IL Bjørn;IL Bjørn;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 55.00 ;  ;  ;379789;-58690;6;6809154;408488;32
Askvoll stadion;1428000101;Eksisterende;Askvoll og Holmedal IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 60.00 ;  ;  ;373660;-52354;6;6842323;-29516;33
Askvoll stadion - treningsbane;1428000102;Eksisterende;Askvoll og Holmedal IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 60.00 ;  ;  ;373660;-52354;5;6842323;-29516;33
Atløy stadion;1428000201;Eksisterende;Atløy IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 64.00 ;  ;  ;370860;-55100;5;6839918;-32629;33
Bulandet stadion;1428000301;Eksisterende;Bulandet IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 45.00 ;  ;  ;366805;-76850;5;6838875;-54799;33
Holmedal stadion;1428000401;Eksisterende;Askvoll kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 67.00 ;  ;  ;373930;-46935;6;6841847;-24095;33
Stongfjorden grasbane;1428000501;Eksisterende;Stongfjorden Vel;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;381685;-46530;6;6849496;-22628;33
Værlandet grusbane;1428000901;Eksisterende;Værlandet IL.;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 80.00 ;Bredde 40.00 ;  ;  ;366710;-76825;5;6838778;-54788;33
Gjelsvik skule;1428001002;Eksisterende;Askvoll kommune;Askvoll kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;385770;-36595;5;6852189;-12197;33
Askvoll skule, kunstgrasbane;1428001107;Eksisterende;Askvoll kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;385808;-300882;7;6807740;290960;32
Kvammen lokalanlegg;1428004601;Eksisterende;Førdefjorden Vel;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 40.00 ;Bredde 60.00 ;  ;  ;385375;-33792;5;6851411;-9467;33
Dingemoen stadion- grasbane fotball;1429000101;Eksisterende;Dale IL;Dingemoen driftselskap;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 67.00 ;  ;  ;373840;-34960;6;6840114;-12211;33
Dingemoen stadion-treningsbane;1429000102;Eksisterende;Dale IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 95.00 ;Bredde 60.00 ;  ;  ;373840;-34960;6;6840114;-12211;33
Dingemoen stadion -kunstgrasbane;1429000103;Eksisterende;Dale IL;Dingemoen driftselskap;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 106.00 ;Bredde 68.00 ;  ;  ;373900;-35144;7;6807701;307259;32
