Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Borge u-skole;106005002;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;136981;16741;5;6572519;272467;33
Begby skole;106005103;Nedlagt;Fredrikstad kommune;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 70.00 ;Bredde 40.00 ;  ;  ;135350;16710;5;6570893;272332;33
Grusbane ved rolvsøyhallen;106006401;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;141122;15575;5;6576727;271569;33
Nylende fotballplass;106006501;Eksisterende;Nylende IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 63.00 ;  ;  ;145106;14779;6;6580755;271030;33
Nylende fotballplass;106006502;Eksisterende;Nylende IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 63.00 ;  ;  ;145106;14779;5;6580755;271030;33
Nylende fotballplass;106006503;Eksisterende;Nylende IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 65.00 ;  ;  ;145106;14779;6;6580755;271030;33
Rolvsøy idrettsplass;106006601;Eksisterende;Rolvsøy IF;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;138322;15890;7;6573912;271704;33
Rolvsøy idrettsplass;106006602;Nedlagt;Rolvsøy IF;Rolvsøy IF;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;138322;15890;5;6573912;271704;33
Østfoldhallen;106006801;Eksisterende;Messe & Idrettssenteret Østf.;;Kommuneanlegg;Fotballanlegg;Fotball Storhall 100x60;;Lengde 106.00 ;Bredde 68.00 ;  ;  ;139340;15690;;6574941;271570;33
Haugetun folkehøgskole;106006902;Eksisterende;Østfold Indremisjon;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 80.00 ;Bredde 50.00 ;  ;  ;141930;16850;5;6577452;272894;33
Haugeåsen ungdomsskole;106007004;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 60.00 ;Bredde 40.00 ;  ;  ;139118;15197;5;6574751;271063;33
Kråkerøy stadion;106007901;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 108.00 ;Bredde 68.00 ;  ;  ;132700;11530;6;6568580;266991;33
Kråkerøy stadion;106007902;Eksisterende;Fredrikstad kommune;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 108.00 ;Bredde 68.00 ;  ;  ;132700;11530;7;6568580;266991;33
Kråkerøy stadion;106007903;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 108.00 ;Bredde 68.00 ;  ;  ;132700;11530;5;6568580;266991;33
Lunde barneskole;106008202;Nedlagt;Fredrikstad kommune;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;129281;12278;5;6565119;267519;33
Lunde kunstgressbane;106008205;Eksisterende;Fredrikstad kommune;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;129281;12278;7;6565119;267519;33
Rød barneskole;106008302;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 65.00 ;Bredde 40.00 ;  ;  ;132956;10983;5;6568871;266462;33
Trondalen idrettspark;106009001;Eksisterende;Gresvik IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;135310;9460;6;6571318;265092;33
Trondalen idrettspark;106009002;Eksisterende;Gresvik IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 80.00 ;Bredde 60.00 ;  ;  ;135310;9460;6;6571318;265092;33
Trondalen idrettspark;106009003;Eksisterende;Gresvik IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 65.00 ;  ;  ;135310;9460;5;6571318;265092;33
Trondalen idrettspark;106009004;Eksisterende;Gresvik IF;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 80.00 ;Bredde 60.00 ;  ;  ;135310;9460;7;6571318;265092;33
Lervikbanen;106009101;Nedlagt;Lervik IF;Lervik IF;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 102.00 ;Bredde 67.00 ;  ;  ;140925;3615;6;6577298;259618;33
Lervik IF - Grusbane;106009407;Planlagt;Lervik IF;Lervik IF;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;  ;  ;  ;  ;0;0;5;104616;59162;32
Hurrød skole;106009602;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;136400;10500;5;6572339;266201;33
Manstad skole;106009703;Eksisterende;Fredrikstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;141150;2920;5;6577567;258939;33
Gaustad kunstgressbane;106009710;Eksisterende;Fredrikstad kommune;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 104.00 meter;Bredde 64.00 meter;  ;  ;141150;2920;7;6577567;258939;33
Titanbanen;106010501;Nedlagt;I01065120;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;132470;13520;6;6568223;268963;33
Hankø - Fotballbane;106010906;Eksisterende;Hankø Fjordhotell A/S;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;134500;3300;6;6570905;258891;33
Fmv-banen;106011101;Nedlagt;Kværner Eiendom A/S;Fredrikstad kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;134880;12000;6;6570726;267600;33
Rove idrettsanlegg;111000101;Eksisterende;Hvaler IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 97.00 ;Bredde 50.00 ;  ;  ;115120;18385;6;6550593;272708;33
